Vpisna številka,Toèke kolokvija
63130335,95
63130130,92
63130300,89
63130010,84
63100263,83
63110247,83
63130005,81
63120165,81
63130002,80.5
63130119,80
63130122,80
63120271,79
63130019,79
63130075,79
63130104,79
63120211,79
63120256,79
63130090,78
63130144,78
63110284,78
63100174,77.5
63130310,77
63130051,76
63110246,76
63130115,76
63130164,76
63040298,76
63130013,74
63130162,74
63110330,74
63130151,73.5
63120257,73
63120268,73
63130345,73
63100280,72.5
63100242,72
63130028,72
63130361,71
63110343,70.5
63130001,69
63980382,69
63120201,69
63130039,69
63130108,69
63120144,69
63130253,68.5
63130124,68
63120151,68
63130160,68
63120298,68
63120270,67.5
63080077,67
63130185,67
63120245,67
63130096,66
63120255,66
63130006,65
63130097,65
63960282,65
63120295,65
63120381,64
63130306,64
63120176,63
63120141,63
63130137,63
63120300,63
63130313,62
63130165,62
63130317,62
63130042,61
63130148,61
63130273,61
63130048,60.5
63130314,59
63130143,58
63120183,57
63130259,57
63130008,56
63120135,56
63130167,56
63130200,56
63130236,56
63120193,55.5
63130325,55.5
63130061,55
63130184,55
63110322,55
63120160,54
63120223,54
63130123,54
63130101,53
63130121,53
63100321,52.5
63970040,52
63130415,52
63980082,52
63130197,52
63130154,51
63120175,50
63120154,50
63130238,50
63130272,50
63130360,49
63130274,49
63120159,48
63130255,48
63120354,47.5
63130263,47.5
63130395,47
63110227,47
63130191,46.5
63130207,46
63120293,46
63130327,46
63130232,45.5
63110173,45
63130296,44.5
63120282,44.5
63100307,44.5
63140380,44
63110194,44
63130141,44
63130359,44
63120139,43
63130058,43
63130188,43
63130240,42.5
63130315,42
63130222,42
63130134,41
63110365,41
63100343,40.5
63120143,40
63130077,40
63110412,40
63130215,40
63130333,39
63130199,39
63130257,39
63130287,38.5
63120185,38
63130098,38
63120148,38
63130145,38
63130235,38
63120173,37
63110349,37
63100202,36
63130172,36
63130082,35.5
63130368,35.5
63130281,35
63130009,34.5
63120380,34
63120147,33
63120180,33
63130073,32.5
63110262,32
63120279,32
63070084,32
63120369,31.5
63130189,31.5
63130023,31
63130340,31
63130192,31
63130229,31
63130142,30
63130087,29
63130204,29
63130233,29
63120297,28
63100170,27.5
63110191,27.5
63120294,24
63000157,23
63120288,23
63120189,21
63130173,20.5
63120258,20.5
63130284,20.5
63110196,20
63130245,20
63120292,19.5
63130323,19.5
63120203,19.5
63120138,18.5
63120206,18
63130316,18
63090069,16
63080009,15
63120216,14
63130003,13
63130159,12
63120304,10
63110347,7
63130299,0
63110399,0
63120169,0
63130072,0
63120162,0
63080111,0
63080147,0
63100339,0
